Index,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10
0,678,0,1000,1000,1000,250,928,1000,1000,1000
1,679,0,1000,1000,1000,250,929,1000,1000,1000
2,679,0,1000,1000,1000,250,929,1000,1000,1000
3,679,0,1000,1000,1000,250,929,1000,1000,1000
4,678,0,1000,1000,1000,251,929,1000,1000,1000
5,657,0,1000,1000,1000,260,917,1000,1000,1000
6,634,0,1000,1000,1000,274,908,1000,1000,1000
7,614,0,1000,1000,1000,276,890,1000,1000,1000
8,553,0,1000,1000,1000,326,879,1000,1000,1000
9,479,0,1000,1000,1000,350,829,1000,1000,1000
10,347,0,1000,1000,1000,398,745,1000,1000,1000
11,187,0,1000,1000,1000,496,683,1000,1000,1000
12,6,0,1000,1000,1000,595,601,1000,1000,1000
13,-174,0,1000,1000,1000,692,518,1000,1000,1000
14,-376,0,1000,1000,1000,791,415,1000,1000,1000
15,-508,0,1000,1000,1000,842,334,1000,1000,1000
16,-692,0,1000,1000,1000,964,272,1000,1000,1000
17,-833,0,1000,1000,1000,1000,232,1000,1000,1000
18,-984,0,1000,1000,21,1000,171,1000,1000,1000
19,-1064,0,1000,1000,36,1000,129,1000,1000,1000
20,-1084,0,1000,1000,49,1000,87,1000,1000,1000
21,-1196,0,1000,1000,69,1000,55,1000,1000,1000
22,-1232,0,1000,1000,78,1000,47,1000,1000,1000
23,-1277,0,1000,1000,78,1000,26,1000,1000,1000
24,-1254,0,1000,1000,63,1000,26,1000,1000,1000
25,-1241,0,1000,1000,63,1000,26,1000,1000,1000
26,-1209,0,1000,1000,63,1000,47,1000,1000,1000
27,-1187,0,1000,1000,56,1000,57,1000,1000,1000
28,-1155,0,1000,1000,42,1000,57,1000,1000,1000
29,-1065,0,1000,1000,28,1000,77,1000,1000,1000
30,-973,0,1000,1000,13,1000,96,1000,1000,1000
31,-933,0,1000,1000,1000,1000,117,1000,1000,1000
32,-912,0,1000,1000,1000,1000,138,1000,1000,1000
33,-870,0,1000,1000,1000,1000,179,1000,1000,1000
34,-781,0,1000,1000,1000,1000,220,1000,1000,1000
35,-781,0,1000,1000,1000,1000,219,1000,1000,1000
36,-711,0,1000,1000,1000,951,240,1000,1000,1000
37,-666,0,1000,1000,1000,927,261,1000,1000,1000
38,-608,0,1000,1000,1000,899,291,1000,1000,1000
39,-552,0,1000,1000,1000,863,311,1000,1000,1000
40,-508,0,1000,1000,1000,849,341,1000,1000,1000
41,-497,0,6,1000,1000,839,353,1000,1000,1000
42,-442,0,6,1000,1000,824,393,1000,1000,1000
43,-437,0,19,1000,1000,824,422,1000,1000,1000
44,-402,0,25,1000,1000,799,443,1000,1000,1000
45,-357,0,13,1000,1000,779,446,1000,1000,1000
46,-328,0,21,1000,1000,767,478,1000,1000,1000
47,-332,0,34,1000,1000,766,497,1000,1000,1000
48,-288,0,33,1000,1000,765,538,1000,1000,1000
49,-303,0,33,6,1000,790,559,1000,1000,1000
50,-267,0,33,6,6,765,579,1000,1000,1000
51,-226,0,33,6,6,765,620,1000,1000,1000
52,-235,0,33,23,6,764,640,1000,1000,1000
53,-216,0,39,23,12,775,690,1000,1000,1000
54,-224,0,47,23,6,790,703,1000,1000,1000
55,-240,0,53,32,13,778,712,1000,1000,1000
56,-198,0,47,42,21,790,785,1000,1000,1000
57,-118,0,53,31,13,801,856,1000,1000,1000
58,-28,0,47,41,6,789,929,1000,1000,1000
59,-65,0,47,40,6,814,916,1000,1000,1000
60,-111,0,47,41,6,839,896,1000,1000,1000
61,-117,0,47,41,6,824,875,1000,1000,1000
62,-118,0,38,40,20,810,863,1000,1000,1000
63,-96,0,39,49,12,775,855,1000,1000,1000
64,-83,0,47,40,20,740,845,1000,1000,1000
65,-90,0,40,49,13,713,803,1000,1000,1000
66,-155,0,40,49,27,728,774,1000,1000,1000
67,-179,0,40,49,27,752,753,1000,12,1000
68,-137,0,38,48,25,750,730,1000,43,1000
69,0,0,38,48,25,750,730,1000,122,1000
70,63,0,38,65,39,748,729,1000,186,1000
71,37,0,38,65,40,773,730,1000,186,1000
72,-156,0,38,66,40,799,730,1000,91,1000
73,-359,0,38,65,40,823,709,1000,1000,1000
74,-380,0,38,66,40,824,690,1000,1000,1000
75,-331,0,26,49,41,825,690,1000,1000,1000
76,-365,0,32,58,48,811,679,1000,1000,1000
77,-388,0,32,57,47,836,678,1000,1000,1000
78,-397,0,24,65,54,846,688,1000,1000,1000
79,-411,0,32,57,47,859,678,1000,1000,1000
80,-449,0,38,65,54,871,688,1000,1000,1000
81,-433,0,32,57,62,859,678,1000,1000,1000
82,-458,0,32,57,62,884,678,1000,1000,1000
83,-477,0,39,67,69,874,690,1000,1000,1000
84,-423,0,33,59,63,874,710,1000,1000,1000
85,-371,0,33,59,63,864,743,6,1000,1000
86,-301,0,38,59,69,824,793,5,1000,1000
87,-242,0,32,75,76,788,824,18,1000,1000
88,-166,0,33,76,77,739,854,19,1000,1000
89,-57,0,38,66,69,701,896,25,1000,1000
90,6,0,32,75,62,664,907,32,1000,1000
91,28,0,32,75,62,641,906,32,1000,1000
92,63,0,32,75,62,616,916,32,1000,1000
93,111,0,33,77,63,614,967,33,1000,1000
94,179,0,25,59,69,603,979,38,1000,1000
95,167,0,25,66,69,603,979,38,1000,1000
96,189,0,32,58,62,592,968,45,1000,1000
97,176,0,18,58,62,591,928,45,1000,1000
98,173,0,25,47,54,577,904,38,1000,1000
99,139,0,19,58,62,602,904,45,1000,1000
100,150,0,25,65,54,602,916,52,1000,1000
101,109,0,18,58,62,616,886,45,1000,1000
102,46,0,18,57,62,640,845,45,1000,1000
103,0,0,20,59,63,667,834,46,1000,1000
104,-68,0,19,59,62,690,784,46,1000,1000
105,-135,0,19,59,62,714,741,46,1000,1000
106,-169,0,11,47,68,750,709,51,1000,1000
107,-215,0,18,58,62,763,680,59,4,1000
108,-281,0,17,56,60,809,657,58,2,1000
109,-297,0,5,40,48,848,627,45,4,1000
110,-419,0,11,48,54,897,587,51,1000,1000
111,-454,0,5,40,47,935,556,45,4,1000
112,-514,0,1000,48,54,973,546,52,1000,1000
113,-526,0,1000,31,55,973,526,38,1000,1000
114,-596,0,4,39,61,1000,514,45,4,1000
115,-582,0,4,38,60,1000,513,44,19,1000
116,-584,0,10,64,66,1000,542,50,26,1000
